,SPLCOLOR,SPLSHAPE,color,image_id,shape
0,C48328,C48348,Pink,433530866,Round
1,C48331,C48345,Peach,009551046,Elliptical / Oval
2,C48325,C48348,White,000780017,Round
3,C48329;C48327,C48336,Green & Purple,00093316006,Capsule-shape
4,C48325,C48348,White,510790810,Round
5,C48325,C48345,White,68180-0115-07_NLMIMAGE10_3A081D50,Elliptical / Oval
6,C48325,C48348,White,00093514056,Round
7,C48328,C48348,Pink,433530290,Round
8,C48331,C48336,Red,004069923,Capsule-shape
9,C48331,C48345,Orange,000040144,Elliptical / Oval
10,C48328,C48345,Pink,504740910,Elliptical / Oval
11,C48329;C48328,C48336,Green & Pink,498840724,Capsule-shape
12,C48328,C48345,Pink,005970003,Capsule-shape
13,C48330;C48323,C48336,Black & Yellow,477810303,Capsule-shape
14,C48325,C48348,White,001850205,Round
15,C48325,C48348,White,680840248,Round
16,C48325,C48348,White,50111-0309-01_8629434A,Round
17,C48325,C48348,Pink,006030209,Round
18,C48325,C48348,White,00093-8120-01_NLMIMAGE10_8C364652,Round
19,C48326,C48348,Yellow,005970140,Capsule-shape
20,C48325,C48336,White,604290738,Capsule-shape
21,C48333,C48348,Blue,002282620,Round
22,C48325,C48348,White,00555902058part2of2,Round
23,C48325,C48345,White,000938305,Elliptical / Oval
24,C48333,C48345,Blue,68382-0055-01_35129A84,Elliptical / Oval
25,C48328,C48345,Pink,003784472,Elliptical / Oval
26,C48331,C48348,Orange,00527-1341-10_3D081EA0,Round
27,C48331,C48348,Orange,00591084410,Round
28,C48329,C48345,Green,00781-5183-01_7E23BF6D,Capsule-shape
29,C48333,C48346,Blue,00007-4894-20_C718E3D7,Five-sided
30,C48325,C48348,White,000680021,Round
31,C48325,C48348,White,422910312,Round
32,C48332,C48336,Brown,007812272,Capsule-shape
33,C48325;C48333,C48336,White / Blue,534890118,Capsule-shape
34,C48331,C48348,Orange,009045512,Round
35,C48330,C48348,White,002284025,Round
36,C48333;C48325,C48336,Blue & White,001433141,Capsule-shape
37,C48331,C48348,Peach,006036150,Round
38,C48325,C48348,White,000544742,Round
39,C48332,C48336,Brown,00555095602,Capsule-shape
40,C48325,C48345,White,00591-5325-01_240E1210,Elliptical / Oval
41,C48333,C48348,Blue,510790474,Round
42,C48328,C48340,Pink,51285-0060-01_NLMIMAGE10_6838B465,Heart-shape
43,C48325,C48348,White,005361053,Round
44,C48329,C48348,Green,00093-7202-98_6323B1ED,Round
45,C48325,C48348,White,00173-0699-02_9119488A,Round
46,C48325,C48348,White,00173-0778-61_E91974FB,Round
47,C48325,C48348,White,669930050,Round
48,C48327,C48348,Blue,510790575,Elliptical / Oval
49,C48325,C48345,White,005910718,Round
50,C48333,C48348,Blue,604290947,Round
51,C48332,C48348,White,13668-0009-05_35051AA8,Round
52,C48325,C48336,White,16252-0569-60_A70ED396,Elliptical / Oval
53,C48327,C48336,Purple,43386-0660-24_D91DECBF,Capsule-shape
